
cnae_tronco,cnae_completo,descricao_cnae,grau_risco,fonte
23991,2399-1/01,"Decoração, lapidação, gravação, vitrificação e outros trabalhos em cerâmica, louça, vidro e cristal",1,NR-4 2023
23991,2399-1/02,Fabricação de abrasivos,1,NR-4 2023
23991,2399-1/99,Fabricação de outros produtos de minerais não metálicos não especificados anteriormente,1,NR-4 2023
24113,2411-3/00,Produção de ferro-gusa,4,NR-4 2023
24121,2412-1/00,Produção de ferroligas,2,NR-4 2023
24211,2421-1/00,Produção de semiacabados de aço,4,NR-4 2023
24229,2422-9/01,"Produção de laminados planos de aço ao carbono, revestidos ou não",4,NR-4 2023
24229,2422-9/02,Produção de laminados planos de aços especiais,4,NR-4 2023
24237,2423-7/01,Produção de tubos de aço sem costura,4,NR-4 2023
24237,2423-7/02,"Produção de laminados longos de aço, exceto tubos",4,NR-4 2023
24245,2424-5/01,Produção de arames de aço,3,NR-4 2023
24245,2424-5/02,"Produção de relaminados, trefilados e perfilados de aço, exceto arames",3,NR-4 2023
24318,2431-8/00,Produção de tubos de aço com costura,4,NR-4 2023
24393,2439-3/00,Produção de outros tubos de ferro e aço,4,NR-4 2023
24415,2441-5/01,Produção de alumínio e suas ligas em formas primárias,4,NR-4 2023
24415,2441-5/02,Produção de laminados de alumínio,4,NR-4 2023
24423,2442-3/00,Metalurgia dos metais preciosos,4,NR-4 2023
24431,2443-1/00,Metalurgia do cobre,4,NR-4 2023
24491,2449-1/01,Produção de zinco em formas primárias,4,NR-4 2023
24491,2449-1/02,Produção de laminados de zinco,4,NR-4 2023
24491,2449-1/03,Fabricação de ânodos para galvanoplastia,4,NR-4 2023
24491,2449-1/99,Metalurgia de outros metais não ferrosos e suas ligas não especificados anteriormente,4,NR-4 2023
24512,2451-2/00,Fundição de ferro e aço,4,NR-4 2023
24521,2452-1/00,Fundição de metais não ferrosos e suas ligas,1,NR-4 2023
25110,2511-0/00,Fabricação de estruturas metálicas,4,NR-4 2023
25128,2512-8/00,Fabricação de esquadrias de metal,3,NR-4 2023
25136,2513-6/00,Fabricação de obras de caldeiraria pesada,2,NR-4 2023
25217,2521-7/00,"Fabricação de tanques, reservatórios metálicos e caldeiras para aquecimento central",3,NR-4 2023
25225,2522-5/00,"Fabricação de caldeiras geradoras de vapor, exceto para aquecimento central e para veículos",3,NR-4 2023
25314,2531-4/01,Produção de forjados de aço,4,NR-4 2023
25314,2531-4/02,Produção de forjados de metais não ferrosos e suas ligas,4,NR-4 2023
25322,2532-2/01,Produção de artefatos estampados de metal,4,NR-4 2023
25322,2532-2/02,Metalurgia do pó,4,NR-4 2023
25390,2539-0/01,"Serviços de usinagem, torneiria e solda",4,NR-4 2023
25390,2539-0/02,Serviços de tratamento e revestimento em metais,4,NR-4 2023
25411,2541-1/00,Fabricação de artigos de cutelaria,3,NR-4 2023
25420,2542-0/00,"Fabricação de artigos de serralheria, exceto esquadrias",3,NR-4 2023
25438,2543-8/00,Fabricação de ferramentas,3,NR-4 2023
25501,2550-1/01,"Fabricação de equipamento bélico pesado, exceto veículos militares de combate",4,NR-4 2023
25501,2550-1/02,"Fabricação de armas de fogo, outras armas e munições",4,NR-4 2023
25918,2591-8/00,Fabricação de embalagens metálicas,3,NR-4 2023
25926,2592-6/01,Fabricação de produtos de trefilados de metal padronizados,4,NR-4 2023
25926,2592-6/02,"Fabricação de produtos de trefilados de metal, exceto padronizados",4,NR-4 2023
25934,2593-4/00,Fabricação de artigos de metal para uso doméstico e pessoal,3,NR-4 2023
25993,2599-3/01,Serviços de confecção de armações metálicas para a construção,1,NR-4 2023
25993,2599-3/02,Serviço de corte e dobra de metais,1,NR-4 2023
25993,2599-3/99,Fabricação de outros produtos de metal não especificados anteriormente,1,NR-4 2023
26108,2610-8/00,Fabricação de componentes eletrônicos,2,NR-4 2023
26213,2621-3/00,Fabricação de equipamentos de informática,3,NR-4 2023
26221,2622-1/00,Fabricação de periféricos para equipamentos de informática,3,NR-4 2023
26311,2631-1/00,"Fabricação de equipamentos transmissores de comunicação, peças e acessórios",3,NR-4 2023
26329,2632-9/00,"Fabricação de aparelhos telefônicos e de outros equipamentos de comunicação, peças e acessórios",4,NR-4 2023
26400,2640-0/00,"Fabricação de aparelhos de recepção, reprodução, gravação e amplificação de áudio e vídeo",3,NR-4 2023
26515,2651-5/00,"Fabricação de aparelhos e equipamentos de medida, teste e controle",3,NR-4 2023
26523,2652-3/00,Fabricação de cronômetros e relógios,3,NR-4 2023
26604,2660-4/00,Fabricação de aparelhos eletromédicos e eletroterapêuticos e equipamentos de irradiação,3,NR-4 2023
26701,2670-1/01,"Fabricação de equipamentos e instrumentos ópticos, peças e acessórios",3,NR-4 2023
26701,2670-1/02,"Fabricação de aparelhos fotográficos e cinematográficos, peças e acessórios",3,NR-4 2023
